# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:16:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\4nm8vplz.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121611_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0755729
# Diagonal elements of inverse mass matrix:
# 3665.1, 7.01957e-005, 0.000188685, 0.000185848, 0.000544786, 0.000705826, 0.00122407, 0.000857209
-3507.48,0.999473,0.0755729,6,63,0,3510.34,5053.11,0.302837,0.0413496,0.185348,0.270917,0.118848,0.0751317,207.14
-3508.62,0.940447,0.0755729,6,63,0,3514.01,5028.59,0.323076,0.0660732,0.189493,0.23416,0.119981,0.0246635,209.201
-3511.15,0.93748,0.0755729,6,63,0,3513.55,4933.67,0.307941,0.0515742,0.191616,0.288173,0.115846,0.126359,208.728
-3509.87,1,0.0755729,5,31,0,3512.39,4908.64,0.306704,0.0601454,0.195435,0.291391,0.141335,0.0941093,206.949
-3509.07,0.997971,0.0755729,6,63,0,3514.03,4983.25,0.323679,0.0660186,0.196626,0.226217,0.139138,0.0334675,212.69
-3511.32,0.97848,0.0755729,6,63,0,3514.27,5096.27,0.288512,0.0367551,0.185859,0.270295,0.125799,0.0568697,209.978
-3508.62,0.960613,0.0755729,6,63,0,3514.44,5074.41,0.311783,0.0526755,0.185577,0.208917,0.1456,0.0423553,214.403
-3508.09,0.963264,0.0755729,6,63,0,3511.17,5010.45,0.308932,0.0343283,0.192603,0.292637,0.135581,0.0258488,203.773
-3510.69,0.859668,0.0755729,6,63,0,3513.39,5010.86,0.309818,0.0686523,0.168035,0.239228,0.164189,0.066148,217.817
-3512.98,0.929104,0.0755729,6,63,0,3517.91,5041.96,0.306901,0.0727933,0.185698,0.260286,0.124322,-0.0355874,215.709
-3508.55,0.995192,0.0755729,6,63,0,3514.95,4971.23,0.317955,0.045629,0.187959,0.267073,0.129444,0.10945,202.521
-3510.24,0.878785,0.0755729,5,63,0,3514.21,4997.11,0.314064,0.0820071,0.194584,0.25616,0.131407,-0.00242466,213.319
-3509.17,0.999594,0.0755729,6,63,0,3512.64,4993.16,0.309422,0.025584,0.193798,0.268231,0.141548,0.105915,202.621
-3511,0.943882,0.0755729,6,63,0,3514.97,4986.01,0.323727,0.0393329,0.182612,0.271746,0.111145,0.0776209,195.518
-3507.85,0.998454,0.0755729,6,63,0,3514.44,4975.39,0.321116,0.0439803,0.199309,0.259793,0.122045,0.0600677,215.19
-3509.44,0.998488,0.0755729,6,63,0,3510.44,5116.64,0.300249,0.0522872,0.180621,0.23034,0.14639,0.0146848,198.358
-3507.67,0.985747,0.0755729,5,31,0,3511.12,5090.5,0.303557,0.0377264,0.187415,0.247984,0.124621,0.0518425,200.199
-3510.41,0.927911,0.0755729,6,63,0,3513.21,5030.48,0.307238,0.0463335,0.198053,0.216754,0.160486,0.103509,209.091
-3509.5,0.933114,0.0755729,6,63,0,3514.66,5044.78,0.314998,0.0493991,0.181052,0.294539,0.097686,-0.000528894,205.686
-3507.25,0.993789,0.0755729,6,63,0,3510.6,4992.28,0.30799,0.0507283,0.189212,0.246519,0.161918,0.0929883,207.684
-3508.01,0.999033,0.0755729,6,63,0,3509.5,5055.44,0.318815,0.050586,0.181781,0.269097,0.0928266,0.0137538,211.48
-3508.44,0.955408,0.0755729,6,63,0,3509.59,5039.02,0.313696,0.0580107,0.183,0.276335,0.0933599,0.010895,211.121
-3509.09,0.999905,0.0755729,6,63,0,3511.07,5079.73,0.314026,0.0447636,0.189389,0.270222,0.086261,-0.00648785,213.809
-3511.17,0.993526,0.0755729,5,31,0,3512.05,5070.59,0.318829,0.0466873,0.188053,0.28143,0.069372,-0.0160089,212.224
-3512.12,0.7984,0.0755729,5,63,0,3517.84,5022.79,0.29991,0.038437,0.199543,0.227442,0.168452,0.0908413,199.909
-3509.78,0.983199,0.0755729,6,63,0,3515.83,5024.89,0.310168,0.0600539,0.166708,0.27529,0.142934,0.0177934,199.899
-3511.34,0.986879,0.0755729,6,63,0,3514.77,4911.03,0.313197,0.0513944,0.216703,0.254463,0.137686,0.100991,217.156
-3510.6,0.999024,0.0755729,6,63,0,3513.73,5135.65,0.303069,0.0508575,0.161993,0.255749,0.12399,-0.00163362,197.54
-3509.38,0.922861,0.0755729,6,63,0,3514.07,5056.44,0.310779,0.0531183,0.179145,0.262134,0.11699,0.0521688,195.008
-3508.99,0.971206,0.0755729,6,63,0,3513.66,4976.36,0.318292,0.0448845,0.208631,0.241602,0.153734,0.0297895,216.614
-3506.67,0.99976,0.0755729,5,47,0,3513.66,5071.92,0.311112,0.044662,0.190505,0.228253,0.135617,0.0359855,210.742
-3514.73,0.947384,0.0755729,6,63,0,3518.02,4933.93,0.337313,0.0458535,0.176863,0.242856,0.172234,0.0671769,206.758
-3509.69,0.988769,0.0755729,5,63,0,3518.11,5074.09,0.301539,0.0560603,0.202141,0.233518,0.117732,0.0131767,200.661
-3509.79,0.999993,0.0755729,6,63,0,3514.82,4903.82,0.319223,0.0494897,0.186964,0.294033,0.155002,0.0969216,216.529
-3506.94,0.999849,0.0755729,5,31,0,3511.39,4944.55,0.315736,0.0622814,0.195012,0.280476,0.141721,0.0373769,206.35
-3507.55,0.884347,0.0755729,6,63,0,3509.67,5111.55,0.314239,0.0412705,0.181723,0.22953,0.111129,0.0443269,208.241
-3506.1,0.999776,0.0755729,6,63,0,3512.07,5048.65,0.312246,0.0518286,0.176469,0.255451,0.133203,0.0327118,207.59
-3509.97,0.994038,0.0755729,5,31,0,3510.44,5035.12,0.310176,0.0388239,0.161924,0.303333,0.123477,0.064311,204.352
-3509.81,0.897138,0.0755729,5,63,0,3513.76,4993.47,0.31522,0.0398817,0.171689,0.301408,0.12966,0.0736998,201.14
-3508.87,0.893842,0.0755729,6,63,0,3512.95,5075.34,0.308714,0.0595471,0.195793,0.217675,0.121958,0.0321085,217.941
-3508.84,0.971531,0.0755729,6,63,0,3513.21,4995.24,0.303657,0.0447005,0.180763,0.303964,0.131134,0.0612193,202.288
-3509.2,0.993416,0.0755729,6,63,0,3512.54,5071.51,0.31775,0.0514606,0.198294,0.197192,0.134856,0.0338234,209.565
-3511.4,0.955202,0.0755729,6,63,0,3515.35,4918.18,0.310572,0.0569164,0.174537,0.327532,0.143655,0.0603987,206.048
-3510.16,0.928304,0.0755729,6,63,0,3514.34,4957.11,0.316795,0.0559242,0.177238,0.303506,0.137674,0.0151994,205.082
-3508.73,0.993665,0.0755729,6,63,0,3512.25,5007.91,0.306603,0.0430467,0.198559,0.231361,0.156007,0.105871,210.525
-3506.51,0.988152,0.0755729,6,63,0,3509.82,4991.64,0.316013,0.0527956,0.180861,0.254882,0.148809,0.0688903,210.064
-3508.33,0.99862,0.0755729,6,63,0,3509.09,4993.37,0.30396,0.04139,0.185565,0.286616,0.170903,0.0345235,206.437
-3508.16,0.957598,0.0755729,6,63,0,3511.77,5060.94,0.314979,0.0672194,0.182416,0.240558,0.114177,0.0224949,215.091
-3508.84,0.9635,0.0755729,6,63,0,3511.73,5034.81,0.312787,0.0546331,0.197672,0.219577,0.165301,0.0282472,202.729
-3509.89,0.993274,0.0755729,5,63,0,3511.75,5063.1,0.311201,0.0575833,0.177876,0.217014,0.174976,0.0406682,201.568
-3507.59,0.998179,0.0755729,5,31,0,3510.97,5054.35,0.306022,0.0669163,0.178788,0.246954,0.119174,0.0400083,205.104
-3506.89,0.999967,0.0755729,5,63,0,3511.88,5005.48,0.306495,0.0584015,0.19327,0.255006,0.154281,0.0245825,206.881
-3507.04,0.999817,0.0755729,6,63,0,3509.16,4996.69,0.307581,0.0579237,0.198971,0.259544,0.154425,0.026187,209.377
-3506.69,0.999531,0.0755729,5,63,0,3511.24,5048.71,0.307704,0.0455791,0.19882,0.240451,0.133036,0.0488668,209.049
-3509.99,0.896905,0.0755729,6,63,0,3510.91,4980.47,0.317218,0.0350663,0.206891,0.242086,0.153984,0.0396856,212.938
