# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:16:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\4nm8vplz.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121611_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0672632
# Diagonal elements of inverse mass matrix:
# 4053.56, 7.13365e-005, 0.000167553, 0.000201033, 0.000554587, 0.000856973, 0.00121163, 0.000854894
-3507.64,0.911369,0.0672632,6,63,0,3509.83,5081.92,0.303606,0.0440741,0.185586,0.23427,0.134815,0.0497667,212.997
-3510.82,0.98232,0.0672632,5,31,0,3512.59,5064.29,0.310769,0.0352148,0.191411,0.237473,0.161684,-0.00532533,219.639
-3512.74,0.989063,0.0672632,6,63,0,3517,5100.33,0.305501,0.0456077,0.173999,0.254172,0.0975095,0.0540167,189.882
-3509.34,0.999975,0.0672632,6,63,0,3516.54,4994.25,0.313354,0.0732846,0.194198,0.235774,0.110189,0.0761652,214.985
-3513.78,0.97659,0.0672632,5,63,0,3515.65,4953.96,0.326311,0.0578898,0.212871,0.242328,0.0918953,0.0608536,222.021
-3514.22,0.99864,0.0672632,5,31,0,3515.27,4961.05,0.325779,0.0523152,0.21652,0.241688,0.0830879,0.0701313,221.358
-3512.24,0.995884,0.0672632,6,63,0,3515.15,5073.69,0.297864,0.0483764,0.164383,0.268087,0.171344,0.0276459,195.889
-3509.73,0.942026,0.0672632,6,63,0,3516.13,5057.4,0.305861,0.0758258,0.165603,0.238362,0.147088,0.0324438,204.392
-3509.52,0.923582,0.0672632,6,63,0,3513.18,4990.68,0.315627,0.0272659,0.211407,0.268493,0.101881,0.0761826,204.754
-3507.15,0.997499,0.0672632,6,63,0,3514.55,5041,0.309979,0.0287508,0.19428,0.260534,0.125771,0.057317,204.285
