# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:16:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\c5f6o7zd.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121621_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0546689
# Diagonal elements of inverse mass matrix:
# 3924.21, 5.47081e-005, 0.000195938, 0.000229381, 0.000581059, 0.000541625, 0.00117064, 0.000780167
-4080.21,0.995199,0.0546689,6,63,0,4082.18,4893.86,0.303937,0.0771294,0.192347,0.262541,0.165591,0.170202,209.702
-4078.92,0.998831,0.0546689,6,63,0,4082.4,4872.5,0.305116,0.057235,0.212474,0.24741,0.174929,0.1915,197.612
-4080.1,0.974772,0.0546689,6,63,0,4084.73,4976.65,0.300919,0.0509191,0.223113,0.212558,0.139284,0.17154,203.056
-4080.41,0.98844,0.0546689,6,63,0,4082.67,4885.44,0.317464,0.0607617,0.177783,0.265657,0.193206,0.157245,203.69
-4081.13,0.981166,0.0546689,5,31,0,4083.06,4887.27,0.31719,0.0599071,0.17302,0.267629,0.19604,0.158881,202.459
-4083.77,0.970479,0.0546689,6,63,0,4087.39,4818.15,0.306308,0.0664393,0.238889,0.220211,0.190871,0.191388,201.313
-4080.83,0.999935,0.0546689,6,63,0,4085.9,4851.18,0.311028,0.0674434,0.22895,0.214884,0.179407,0.184036,207.544
-4078.51,0.848287,0.0546689,5,31,0,4086.53,4896.95,0.314972,0.0633098,0.214126,0.225699,0.150447,0.175488,206.35
-4079.74,0.999645,0.0546689,6,63,0,4081.11,5009.18,0.307475,0.0392422,0.178039,0.232219,0.182914,0.144361,195.458
-4080.8,0.999878,0.0546689,6,63,0,4083.87,5031.03,0.303073,0.0686215,0.188282,0.208243,0.118429,0.180116,208.086
