# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:16:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\c5f6o7zd.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121621_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.068709
# Diagonal elements of inverse mass matrix:
# 3450.04, 5.1609e-005, 0.000196302, 0.000175524, 0.000489985, 0.000525914, 0.00117426, 0.000790876
-4086.5,0.997897,0.068709,5,31,0,4089,4921.82,0.311006,0.0877347,0.160006,0.235565,0.162449,0.234063,208.211
-4084.37,0.951401,0.068709,5,63,0,4090.1,4878.17,0.313626,0.0853546,0.174026,0.255685,0.148622,0.210929,205.152
-4078.21,0.978943,0.068709,5,31,0,4086.3,5001.08,0.306873,0.0566864,0.194489,0.226369,0.148261,0.147751,205.978
-4077.7,1,0.068709,6,63,0,4078.6,4972.46,0.309731,0.0450879,0.195452,0.233666,0.160128,0.137795,200.992
-4077.93,0.998647,0.068709,5,63,0,4081.54,4961.74,0.305653,0.0416304,0.200869,0.229857,0.182697,0.13972,203.118
-4078.61,0.980901,0.068709,6,63,0,4080.23,4911.55,0.314593,0.043833,0.202531,0.254648,0.148814,0.160074,203.775
-4080.95,0.982472,0.068709,5,47,0,4085.65,4916.17,0.309259,0.0567949,0.193836,0.211325,0.223801,0.160266,209.587
-4080.36,1,0.068709,6,63,0,4082.33,4940.06,0.310733,0.0514942,0.205473,0.260509,0.113077,0.15184,199.952
-4081.53,0.986031,0.068709,5,31,0,4083.01,4918.57,0.307611,0.0523059,0.209194,0.272801,0.116307,0.153794,197.469
-4083.47,0.722997,0.068709,6,63,0,4088.94,4910.5,0.311546,0.0519954,0.196735,0.203203,0.22753,0.161932,212.356
-4078.99,0.998921,0.068709,6,63,0,4085.01,4886.73,0.315085,0.054131,0.220218,0.23594,0.173695,0.150912,201.822
-4079.56,0.999854,0.068709,6,63,0,4080.86,4931.45,0.308657,0.0543599,0.180012,0.252629,0.155981,0.19936,204.021
-4080.43,0.973248,0.068709,6,63,0,4082.47,4932.29,0.313343,0.0439625,0.222739,0.213672,0.176851,0.11502,204.967
-4080.31,0.985103,0.068709,6,63,0,4082.8,4941.08,0.304174,0.0619448,0.182772,0.247769,0.148988,0.198943,209.313
-4080.77,0.978776,0.068709,6,63,0,4085.39,4832.13,0.31206,0.0725102,0.203862,0.26824,0.166521,0.160944,205.42
-4082.69,0.960143,0.068709,5,31,0,4083.9,4810.76,0.310947,0.0786958,0.200539,0.276278,0.176857,0.159084,204.106
-4084.64,0.996101,0.068709,6,63,0,4088.69,5001.83,0.320078,0.0208721,0.199679,0.228834,0.129347,0.187696,209.859
-4078.82,0.984255,0.068709,6,63,0,4087.43,4945.68,0.303274,0.0442384,0.216364,0.226131,0.157435,0.188194,207.143
-4079.81,0.958735,0.068709,5,63,0,4081.64,5015.29,0.312151,0.0496646,0.179034,0.247491,0.13681,0.135409,205.147
-4081.74,0.999377,0.068709,6,63,0,4084.35,4986.65,0.311525,0.0492254,0.187376,0.260713,0.14597,0.108949,193.11
-4081.19,0.998336,0.068709,6,63,0,4085.23,4940.67,0.31347,0.0604306,0.204515,0.191759,0.178026,0.186916,215.079
-4079.34,0.99939,0.068709,6,63,0,4083.64,4958.87,0.307808,0.0747277,0.203061,0.205497,0.171576,0.131421,201.528
-4079.39,0.959972,0.068709,6,63,0,4083.96,4913.85,0.310156,0.033132,0.193963,0.274652,0.170698,0.173508,207.151
-4078.59,0.98774,0.068709,6,63,0,4081.11,4987.98,0.304623,0.0641477,0.197663,0.222146,0.162261,0.112101,202.876
-4077.07,0.999103,0.068709,5,63,0,4079.1,4909.67,0.311464,0.0524497,0.198479,0.244036,0.172898,0.180531,204.028
-4081.32,0.977042,0.068709,5,31,0,4082.31,4935.82,0.314691,0.0337836,0.223089,0.200949,0.191211,0.139982,205
-4079.9,0.994,0.068709,6,63,0,4084.84,4914.84,0.304833,0.0553317,0.178671,0.271174,0.180823,0.180909,201.092
-4080.44,0.997225,0.068709,6,63,0,4088.16,4904.95,0.31566,0.0485429,0.231449,0.216107,0.158076,0.150083,208.119
-4084.74,0.942278,0.068709,5,63,0,4085.97,4850.87,0.314099,0.0550857,0.240715,0.214941,0.15103,0.193002,212.312
-4081.68,0.992923,0.068709,6,63,0,4088.73,4920.54,0.304568,0.0502756,0.201114,0.214714,0.227912,0.148217,208.025
-4082.31,0.881819,0.068709,6,63,0,4087.96,4870.52,0.314875,0.0521714,0.207335,0.272279,0.124275,0.179125,202.721
-4078.47,0.981146,0.068709,6,63,0,4084.2,4895.17,0.310003,0.0442274,0.214916,0.238171,0.173487,0.169117,208.41
-4078.24,0.992034,0.068709,6,63,0,4081.58,4978.13,0.312785,0.0626203,0.187851,0.221314,0.165599,0.12679,202.448
-4081.17,0.977657,0.068709,6,63,0,4082.29,4963.9,0.302845,0.0482197,0.199001,0.210727,0.160732,0.243546,203.288
-4077.08,0.999991,0.068709,5,47,0,4082.41,4926.61,0.309869,0.0502284,0.204273,0.236312,0.163472,0.179035,206.355
-4077.64,0.991073,0.068709,5,63,0,4078.92,4949.86,0.310401,0.0552908,0.196587,0.251395,0.141429,0.150019,206.981
-4078.9,0.98939,0.068709,6,63,0,4080.11,4956.14,0.304386,0.054854,0.211726,0.222001,0.171418,0.128319,211.824
-4082.16,0.981765,0.068709,6,63,0,4088.25,4927.77,0.306638,0.0568613,0.224983,0.234083,0.170534,0.0823465,213.312
-4079.35,0.961778,0.068709,6,63,0,4084.75,4871.22,0.307836,0.0612211,0.222397,0.254711,0.177045,0.113735,204.39
-4078.34,0.966311,0.068709,6,63,0,4082.45,4919.58,0.311638,0.0533401,0.189894,0.226509,0.182216,0.194446,203.623
-4081.18,0.850446,0.068709,6,63,0,4082.8,4969.79,0.308203,0.0513253,0.20511,0.232669,0.146583,0.108751,202.309
-4079.87,0.993877,0.068709,6,63,0,4086.23,4982.91,0.311378,0.0381121,0.189876,0.209351,0.16418,0.220019,208.385
-4080.56,0.999905,0.068709,6,63,0,4083.14,4974.93,0.313305,0.057844,0.190344,0.251565,0.162226,0.0785681,201.964
-4077.58,0.988585,0.068709,5,63,0,4081.44,4929.83,0.310259,0.0431959,0.202625,0.230052,0.177664,0.18818,200.95
-4078.42,0.984495,0.068709,6,63,0,4079.59,4932.87,0.311064,0.0496884,0.196322,0.23336,0.199987,0.125621,207.336
-4085.97,0.99856,0.068709,5,31,0,4086.89,4908.18,0.305804,0.0269886,0.218858,0.242028,0.24182,0.0915802,210.427
-4085.13,0.999782,0.068709,6,63,0,4089.48,4950.3,0.301681,0.0326515,0.212755,0.247493,0.218068,0.0738339,214.2
-4084.28,0.872641,0.068709,6,63,0,4090.29,4927.22,0.30859,0.0385178,0.220068,0.260059,0.198415,0.0672292,208.772
-4083.31,1,0.068709,6,63,0,4087.47,4896.45,0.301545,0.0465258,0.211408,0.28641,0.182429,0.089277,211.15
-4082.53,0.952838,0.068709,6,63,0,4086.33,4913.61,0.300263,0.0494037,0.206749,0.279377,0.192323,0.0829525,206.414
-4083.67,0.979945,0.068709,5,31,0,4084.42,4917.34,0.299554,0.0558921,0.205295,0.281146,0.195992,0.0784398,207.332
-4079.74,0.999604,0.068709,6,63,0,4085.26,4943.75,0.320093,0.0508969,0.202343,0.200926,0.162765,0.186366,200.578
-4077.5,0.963032,0.068709,6,63,0,4081.51,4935.21,0.30793,0.0497157,0.200574,0.25457,0.169328,0.143838,203.964
-4079.56,0.990177,0.068709,6,63,0,4080.72,5018.05,0.309,0.0488391,0.183091,0.19754,0.156395,0.188652,205.802
-4079.6,1,0.068709,5,31,0,4080.57,5026.98,0.308309,0.0454842,0.177867,0.198797,0.166266,0.195542,207.304
-4080.03,0.703916,0.068709,6,63,0,4087.4,5024.16,0.299889,0.0505878,0.176667,0.227165,0.148101,0.187366,207.684
