# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:16:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\9mtm5cun.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121635_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0756818
# Diagonal elements of inverse mass matrix:
# 3327.88, 5.02354e-005, 0.000163949, 0.000163541, 0.000480789, 0.000537592, 0.000900219, 0.000581449
-4671.04,0.997969,0.0756818,5,31,0,4672.19,4827.06,0.292947,0.0633002,0.240703,0.270299,0.184716,0.128901,209.454
-4670.57,0.993006,0.0756818,5,63,0,4672.96,4814.23,0.29652,0.069343,0.239515,0.270033,0.185937,0.128406,208.647
-4670.44,0.906009,0.0756818,6,63,0,4675.91,4860.37,0.310898,0.0438826,0.214111,0.283221,0.112909,0.214667,213.746
-4669.55,0.961783,0.0756818,6,63,0,4677.05,4914.01,0.294723,0.0733135,0.20922,0.232706,0.183087,0.139322,205.541
-4667.82,0.999426,0.0756818,6,63,0,4673.98,4920.24,0.311958,0.0444077,0.198796,0.262673,0.135457,0.15997,202.377
-4669.27,0.942003,0.0756818,5,63,0,4671.79,4876.9,0.297589,0.0540013,0.235426,0.252483,0.171495,0.115762,208.93
-4672.01,0.999742,0.0756818,6,63,0,4675.88,5030.74,0.301298,0.0368866,0.185049,0.264113,0.0928859,0.156611,210.415
-4670.72,0.997884,0.0756818,6,63,0,4675.71,4840.96,0.301369,0.0767652,0.224931,0.243994,0.188983,0.154691,197.84
-4670.71,0.910918,0.0756818,5,31,0,4675.48,4840.83,0.300834,0.0597745,0.209735,0.251402,0.180004,0.212522,198.065
-4666.89,0.948417,0.0756818,5,31,0,4672.24,4846.74,0.299496,0.062124,0.222639,0.260931,0.162488,0.198837,201.595
-4673.77,0.965511,0.0756818,5,31,0,4674.94,4858.97,0.29779,0.0774711,0.221877,0.249382,0.145996,0.208234,190.358
-4670.14,0.999931,0.0756818,6,63,0,4678.68,4772.55,0.31594,0.0746513,0.224567,0.273229,0.165497,0.168407,210.291
-4669.09,0.923997,0.0756818,6,63,0,4674.54,4857.68,0.303408,0.0660122,0.211068,0.303559,0.130676,0.138574,212.379
-4668.62,0.997629,0.0756818,6,63,0,4671.65,4910.11,0.303219,0.0474082,0.222235,0.21628,0.162995,0.19943,200.344
-4672.46,0.991123,0.0756818,5,31,0,4674.37,4960.85,0.300373,0.0607885,0.220082,0.187232,0.153647,0.192696,197.144
-4673.41,0.981998,0.0756818,6,63,0,4677.05,4963.28,0.298701,0.0619675,0.226187,0.18026,0.14517,0.209236,201.034
-4666.46,1,0.0756818,5,31,0,4675.46,4957.37,0.301259,0.0609664,0.206561,0.249266,0.138142,0.117908,208.78
-4667.13,0.997231,0.0756818,6,63,0,4668.93,4937.48,0.298205,0.0617709,0.198872,0.267194,0.14965,0.129107,211.104
-4669.66,0.982309,0.0756818,5,31,0,4672.12,4979.25,0.303319,0.0638685,0.198631,0.22476,0.162961,0.103854,210.139
-4672.07,0.996418,0.0756818,6,63,0,4676.83,4808.13,0.30374,0.0332272,0.23454,0.282603,0.146676,0.239251,201.435
-4671.37,0.90611,0.0756818,6,63,0,4678.14,4792.33,0.297734,0.0416584,0.228954,0.276299,0.19048,0.223405,205.794
-4669.62,0.996603,0.0756818,6,63,0,4676.34,4866.15,0.298626,0.0575768,0.198701,0.258322,0.181007,0.232619,209.485
-4671.12,0.832566,0.0756818,6,63,0,4673.84,4872,0.304723,0.0697772,0.1924,0.261812,0.174099,0.209125,206.524
-4671.09,0.999126,0.0756818,5,63,0,4675.72,4934.56,0.305553,0.0766372,0.18372,0.250377,0.126336,0.17241,207.796
-4669.31,0.965562,0.0756818,5,31,0,4673.83,4883.01,0.29841,0.0770598,0.198144,0.267138,0.154858,0.154692,206.346
-4666.46,0.95828,0.0756818,5,31,0,4670.96,4893.9,0.29913,0.0571889,0.204177,0.275121,0.168493,0.153177,207.69
-4666.7,0.999121,0.0756818,6,63,0,4668.81,4962.25,0.301676,0.0529347,0.222075,0.227259,0.118283,0.167381,203.399
-4668.22,0.991282,0.0756818,6,63,0,4672.38,4783.42,0.306158,0.064025,0.222813,0.286838,0.187169,0.161864,206.04
-4669.43,0.977485,0.0756818,6,63,0,4673.42,4906.05,0.301173,0.0481237,0.208238,0.25636,0.144549,0.192406,192.707
-4668.11,1,0.0756818,6,63,0,4671.95,4908.11,0.297085,0.0628115,0.219315,0.246329,0.129266,0.184696,215.88
-4668.33,0.998574,0.0756818,6,63,0,4673.05,4868.22,0.300535,0.0821116,0.221266,0.247488,0.160525,0.142722,210.272
-4670.05,0.951334,0.0756818,6,63,0,4676.88,4980.2,0.297211,0.0261974,0.208254,0.268259,0.121768,0.180542,203.167
