# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:16:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\9mtm5cun.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121635_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0816733
# Diagonal elements of inverse mass matrix:
# 3008.99, 5.04197e-005, 0.000177337, 0.000172531, 0.000462269, 0.000576591, 0.000936999, 0.00060688
-4669.8,0.999569,0.0816733,5,31,0,4675.69,4972.82,0.311122,0.0598349,0.199534,0.245506,0.0944858,0.153356,211.329
-4669.95,0.985923,0.0816733,6,63,0,4673.38,4989.34,0.286829,0.0345293,0.217572,0.258568,0.123635,0.165941,204.348
-4668.91,0.994818,0.0816733,6,63,0,4673.05,5025.29,0.300308,0.0522121,0.198751,0.240979,0.0898625,0.150799,202.938
-4668.4,0.992858,0.0816733,6,63,0,4673.79,4819.55,0.302701,0.0564124,0.227559,0.267027,0.198487,0.147614,208.431
-4667.33,0.998013,0.0816733,6,63,0,4672.94,4945.54,0.301183,0.0518725,0.209084,0.260957,0.0985713,0.188157,202.68
-4666.93,0.987089,0.0816733,6,63,0,4670.73,4904.47,0.303415,0.0578038,0.214592,0.240205,0.180203,0.134643,208.491
-4665.85,0.999612,0.0816733,5,63,0,4668.73,4920.17,0.304264,0.0555969,0.201702,0.251373,0.143153,0.187044,207.708
-4668.8,0.99255,0.0816733,5,31,0,4670.79,4895.1,0.289233,0.0575291,0.230869,0.278071,0.135143,0.151447,205.307
-4666.82,0.997634,0.0816733,5,31,0,4671.87,4953.45,0.302264,0.0443054,0.19995,0.268616,0.118578,0.17377,204.043
-4669.23,0.998644,0.0816733,5,31,0,4671.18,5002.89,0.300469,0.0414756,0.209658,0.203882,0.137588,0.192033,210.147
-4668.9,0.999983,0.0816733,6,63,0,4672.24,5012.13,0.306981,0.0416642,0.193093,0.223286,0.134647,0.159596,202.173
-4668.17,0.998524,0.0816733,6,63,0,4674.01,4864.6,0.296057,0.0626939,0.233018,0.273625,0.153037,0.122493,209.442
