# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:16:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ai_s4rxo.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121649_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0812156
# Diagonal elements of inverse mass matrix:
# 2083.03, 4.19644e-005, 0.000126998, 0.000139979, 0.000299754, 0.00033918, 0.00087265, 0.000563696
-5194.59,0.993669,0.0812156,5,63,0,5197.6,4969.62,0.290029,0.0668885,0.213899,0.250464,0.168646,0.0941449,196.273
-5194.63,0.999141,0.0812156,6,63,0,5199.35,5053.5,0.29093,0.0588476,0.205385,0.232708,0.163487,0.0394049,192.088
-5200.77,0.947793,0.0812156,5,31,0,5202.78,5036.33,0.288776,0.0868123,0.190801,0.241583,0.171362,0.0174052,198.419
-5198.62,0.99969,0.0812156,5,63,0,5202.68,4945.2,0.289864,0.0402396,0.22005,0.280365,0.162795,0.116183,190.155
-5200.44,0.864709,0.0812156,5,31,0,5203.1,4954.2,0.290205,0.0367205,0.213294,0.276209,0.171962,0.138877,192.646
-5195.42,0.874497,0.0812156,5,31,0,5203.83,5026.53,0.293387,0.0699614,0.201426,0.246758,0.14955,0.0434522,196.196
-5194.43,0.99887,0.0812156,6,63,0,5197.39,4993.71,0.293892,0.0497219,0.202504,0.25532,0.182846,0.0726229,190.806
-5196.63,0.978132,0.0812156,5,31,0,5197.64,4962.75,0.291975,0.0505118,0.218639,0.239516,0.191682,0.110707,192.713
-5195.71,0.995123,0.0812156,6,63,0,5199.63,5028.24,0.298353,0.0557994,0.204836,0.252368,0.148198,0.0342185,195.752
-5196.78,0.915831,0.0812156,6,63,0,5199.25,4982.06,0.293708,0.0609184,0.207477,0.260306,0.187266,0.021978,190.365
-5198.38,0.993107,0.0812156,6,63,0,5200.85,5024.08,0.281755,0.0479407,0.195936,0.245812,0.198236,0.097606,190.962
-5199.42,0.98586,0.0812156,5,31,0,5201.56,5073.15,0.281383,0.0491746,0.185876,0.244959,0.197353,0.080839,192.882
-5194.66,0.997047,0.0812156,5,31,0,5200.43,5019.67,0.293057,0.0629215,0.192426,0.255854,0.162258,0.0644036,196.441
-5195.94,0.998506,0.0812156,6,63,0,5198.22,4990.6,0.288878,0.0521785,0.2058,0.261442,0.156745,0.122529,191.555
-5194.92,0.999984,0.0812156,5,63,0,5197.79,5039.49,0.287537,0.0665936,0.1913,0.243931,0.162285,0.0823069,194.058
-5194.56,0.998598,0.0812156,6,63,0,5196.59,5038.34,0.29277,0.0520069,0.212768,0.244482,0.14552,0.0555158,192.301
-5197.21,0.988625,0.0812156,5,31,0,5198.21,5003.29,0.291272,0.0772448,0.196766,0.233837,0.156984,0.119961,195.873
-5198.11,0.998648,0.0812156,5,31,0,5199.28,5008.44,0.285175,0.0733235,0.199723,0.231492,0.161597,0.130344,197.28
-5194.73,0.985845,0.0812156,6,63,0,5199.2,5002.18,0.295441,0.0572469,0.202237,0.242437,0.187886,0.0558158,191.418
-5193.9,0.985936,0.0812156,4,31,0,5199.92,5002.43,0.291513,0.0553444,0.204839,0.244723,0.183274,0.0776043,192.952
-5197.18,0.895761,0.0812156,5,31,0,5198.73,4954.93,0.289712,0.0537993,0.211568,0.300236,0.150861,0.0661601,193.079
-5200.55,0.945998,0.0812156,5,31,0,5204.21,4970.48,0.288911,0.0424848,0.206294,0.309856,0.152994,0.0648914,187.718
-5194.49,0.999907,0.0812156,5,31,0,5202.59,5024.72,0.290049,0.0562068,0.1989,0.244449,0.186281,0.061934,196.466
-5195.7,0.997756,0.0812156,5,63,0,5198.54,5018.3,0.283649,0.0481626,0.210671,0.261545,0.158608,0.0902148,189.678
-5198.67,0.979365,0.0812156,5,63,0,5201.56,4978.64,0.305136,0.0486199,0.191004,0.248765,0.180841,0.107606,195.581
-5198.49,0.955144,0.0812156,6,63,0,5202.27,5046.5,0.276988,0.0692526,0.21264,0.243209,0.165368,0.0372087,191.179
-5195.21,0.990406,0.0812156,5,31,0,5206.21,5063.88,0.284484,0.0649017,0.195667,0.236144,0.170836,0.0558026,192.248
-5197.28,0.973745,0.0812156,5,63,0,5199.22,5032.55,0.293247,0.0522656,0.201025,0.26164,0.162399,0.0295623,203.531
-5196.22,0.88828,0.0812156,6,63,0,5204.42,5027.06,0.295078,0.0637105,0.203698,0.23065,0.156997,0.0800578,185.423
-5196.34,0.815765,0.0812156,5,31,0,5200.39,5032.02,0.287046,0.0728396,0.200958,0.224949,0.173473,0.0676634,193.186
-5195.76,0.999959,0.0812156,6,63,0,5199.79,4970.87,0.29509,0.0615676,0.221176,0.238579,0.168604,0.0905813,191.691
-5194.79,0.968524,0.0812156,6,63,0,5197.11,5003.39,0.287076,0.062052,0.203277,0.254445,0.190563,0.0557014,195.076
-5198.81,0.842118,0.0812156,5,31,0,5200.37,5016.21,0.293284,0.0572832,0.196736,0.226366,0.201241,0.102156,192.185
-5197.02,0.999421,0.0812156,6,63,0,5202.65,4974.46,0.287022,0.059147,0.220717,0.279632,0.155233,0.0436933,200.201
-5196.22,0.999909,0.0812156,5,63,0,5198.8,4961.28,0.295473,0.0552047,0.209392,0.241693,0.191728,0.101595,187.995
-5196.64,0.931033,0.0812156,6,63,0,5199.95,5050.54,0.285347,0.0628076,0.195664,0.264823,0.150855,0.0317365,192.769
-5198.34,0.941223,0.0812156,6,63,0,5200.14,4970.2,0.296869,0.055269,0.223571,0.236137,0.178131,0.0896731,199.523
-5196.51,0.959705,0.0812156,5,63,0,5200.54,4972.19,0.290949,0.061438,0.208508,0.26493,0.173293,0.0898809,200.378
-5194.78,0.993666,0.0812156,5,63,0,5199.75,4982.15,0.294716,0.0722857,0.204891,0.25213,0.154105,0.0743797,194.121
-5200.79,0.990612,0.0812156,5,63,0,5204.85,4947.67,0.291659,0.0841362,0.199196,0.236105,0.191658,0.121545,203.472
-5194.4,0.964867,0.0812156,5,63,0,5202.27,4982.77,0.29428,0.052808,0.207713,0.267252,0.168906,0.0595364,196.439
-5194.73,0.999423,0.0812156,6,63,0,5196.29,5018.96,0.287986,0.0610142,0.211447,0.233233,0.176758,0.0686698,189.086
-5194.72,0.995885,0.0812156,6,63,0,5195.78,5027.15,0.293226,0.0519309,0.197537,0.26029,0.151569,0.0712567,197.447
-5195.37,0.999151,0.0812156,5,63,0,5196.76,5020.41,0.284379,0.0696147,0.198997,0.261898,0.156188,0.0666713,196.74
-5195.37,0.97647,0.0812156,6,63,0,5198.67,4987.52,0.298666,0.0482701,0.211961,0.245866,0.177375,0.0719298,190.831
-5195.86,0.944882,0.0812156,6,63,0,5198.01,4960.42,0.295752,0.0514028,0.211996,0.279059,0.16411,0.075249,194.885
-5197.46,0.982324,0.0812156,5,31,0,5199.15,4959.48,0.299461,0.0458766,0.214941,0.279508,0.151805,0.0778597,197.059
-5197.03,0.999806,0.0812156,5,63,0,5198.95,4955.92,0.299714,0.0460502,0.216346,0.275287,0.150836,0.0782922,197.404
-5202.47,0.974799,0.0812156,5,31,0,5206.61,4928.95,0.291352,0.0443561,0.194842,0.275073,0.208805,0.145492,201.984
-5201.28,0.999213,0.0812156,6,63,0,5206.46,5062.76,0.286622,0.0756053,0.218835,0.239319,0.128537,0.00715487,187.075
-5197.32,0.977757,0.0812156,5,31,0,5204.51,5019.3,0.285758,0.0464876,0.203273,0.271919,0.143387,0.112667,194.471
-5197.55,0.960685,0.0812156,5,63,0,5200.29,5017.49,0.288877,0.0553074,0.204279,0.254303,0.139031,0.12556,198.677
-5196.04,0.993242,0.0812156,6,63,0,5199.44,5009.57,0.287639,0.0512796,0.203554,0.247441,0.199069,0.0568846,189.741
