# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:16:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ai_s4rxo.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121649_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0822956
# Diagonal elements of inverse mass matrix:
# 2439.23, 3.7505e-005, 0.000125764, 0.00011227, 0.000471283, 0.000369857, 0.000729325, 0.000461435
-5197.42,0.964445,0.0822956,6,63,0,5200.33,5041.46,0.287478,0.0571876,0.214233,0.263929,0.135301,0.0222936,199.11
-5196.17,0.999323,0.0822956,6,63,0,5200.24,5025.95,0.291822,0.055828,0.198169,0.227903,0.183951,0.0973964,187.43
-5196.56,0.919426,0.0822956,6,63,0,5199.89,5014.4,0.28306,0.0493541,0.208939,0.277811,0.168988,0.0592779,194.622
-5197.31,0.999891,0.0822956,6,63,0,5199.71,4990.49,0.287952,0.0557735,0.205866,0.283368,0.166935,0.0554009,202.571
-5194.49,0.998945,0.0822956,5,63,0,5198.27,5005.78,0.289781,0.0577365,0.204174,0.239737,0.179055,0.0891857,196.878
-5196.01,0.883611,0.0822956,5,63,0,5199.32,5038.26,0.289009,0.0525358,0.212735,0.242415,0.175989,0.0462011,195.937
-5196.89,0.958059,0.0822956,6,63,0,5198.39,5031.81,0.291358,0.0603695,0.192996,0.264589,0.149166,0.0841196,191.251
-5197.98,0.999561,0.0822956,5,63,0,5199.99,4961.87,0.29065,0.0777458,0.209325,0.268274,0.144806,0.0635123,191.096
-5200.25,0.987288,0.0822956,5,31,0,5204.38,4898.53,0.293463,0.0681221,0.209325,0.288704,0.164578,0.139389,192.697
-5197.09,0.999702,0.0822956,6,63,0,5202.41,4961.56,0.289031,0.0723153,0.210764,0.249144,0.194022,0.0542683,188.655
-5198.42,0.985773,0.0822956,6,63,0,5201.35,5042.94,0.287791,0.0597296,0.194488,0.263185,0.119495,0.0930561,193.244
-5195.64,0.992789,0.0822956,5,63,0,5200.62,5018.57,0.284532,0.0668002,0.195574,0.261118,0.162769,0.0695076,195.741
-5196.72,0.988382,0.0822956,6,63,0,5199.43,4954.42,0.300352,0.0579444,0.223228,0.238912,0.173167,0.0819385,191.997
-5199.05,0.954002,0.0822956,6,63,0,5201.43,5113.25,0.279076,0.0554024,0.180665,0.256913,0.153075,0.0535908,196.639
-5200.31,0.918395,0.0822956,6,63,0,5207.01,5003.19,0.300133,0.0848703,0.19868,0.238821,0.170556,0.0260696,194.571
-5197.03,0.995806,0.0822956,4,15,0,5200.73,4988.53,0.298118,0.0767893,0.202389,0.248273,0.172791,0.0298866,195.188
-5197.01,0.98826,0.0822956,6,63,0,5198.76,4993.74,0.285483,0.0422534,0.218116,0.260506,0.162907,0.110287,192.192
-5196.7,0.962983,0.0822956,5,31,0,5200.18,4988.19,0.285939,0.0441727,0.215575,0.262857,0.159738,0.104911,192.368
-5196.78,0.8787,0.0822956,5,31,0,5199.44,5001.77,0.295013,0.0567178,0.206984,0.2294,0.178058,0.0721776,197.04
-5199.51,0.956887,0.0822956,5,31,0,5200.43,4970.95,0.279775,0.0700651,0.211074,0.266733,0.176641,0.0638499,193.252
-5201.37,0.991799,0.0822956,5,31,0,5205.57,4899.74,0.305125,0.0532775,0.207783,0.281358,0.161451,0.106919,187.546
-5196.04,0.989109,0.0822956,5,31,0,5204.19,4963.23,0.29871,0.0621085,0.212433,0.25306,0.168737,0.0852076,192.173
-5197.35,0.979131,0.0822956,5,31,0,5200.33,4959.44,0.299853,0.0743525,0.215606,0.24024,0.157291,0.0885816,191.655
-5197.44,0.995369,0.0822956,6,63,0,5200.96,4967.68,0.284828,0.0472618,0.207166,0.280192,0.192272,0.0688596,194.397
-5200.11,0.999251,0.0822956,5,31,0,5202.78,4986.19,0.295856,0.0883791,0.209207,0.225651,0.152312,0.0734733,202.101
-5200.73,0.801024,0.0822956,5,63,0,5206.75,5088.45,0.283198,0.0436551,0.194,0.240611,0.189037,0.0661313,187.776
-5199.23,0.999,0.0822956,6,63,0,5202.97,5030.03,0.295532,0.0666186,0.212973,0.254378,0.141378,0.0262103,192.796
-5196.62,0.795288,0.0822956,5,63,0,5204.95,5082.21,0.291396,0.0614475,0.204989,0.236061,0.123805,0.052761,192.663
-5198.01,0.993754,0.0822956,6,63,0,5200.08,4940.35,0.288355,0.0696926,0.203398,0.260492,0.206442,0.0817716,201.296
-5200.41,0.961512,0.0822956,6,63,0,5204.46,4871.88,0.300696,0.0599185,0.229927,0.275771,0.175227,0.105521,187.953
-5198.64,1,0.0822956,5,31,0,5203.15,4889.86,0.303601,0.0645417,0.214706,0.282896,0.184816,0.0676473,193.646
-5197.62,0.878315,0.0822956,6,63,0,5202.67,5004.54,0.284223,0.0561889,0.195928,0.251335,0.170428,0.13117,196.235
-5196.04,0.940049,0.0822956,5,31,0,5201.47,4985.17,0.302047,0.0597314,0.20024,0.247866,0.156598,0.083419,191.618
-5194.89,0.985754,0.0822956,6,63,0,5198.44,5017.1,0.283884,0.0561368,0.21218,0.256346,0.176289,0.0527143,195.657
-5194.99,0.970243,0.0822956,5,63,0,5196.62,4952.46,0.293656,0.0581994,0.215163,0.253096,0.174508,0.0940235,197.045
-5195.93,0.937141,0.0822956,5,63,0,5197.75,5009.65,0.296709,0.0679194,0.194512,0.247444,0.170659,0.0710116,194.926
-5196.14,0.911851,0.0822956,5,31,0,5199.36,5025.53,0.293772,0.0596616,0.184608,0.243235,0.172086,0.100099,189.894
-5199.63,0.999077,0.0822956,5,63,0,5202.34,4956.69,0.303925,0.0396809,0.199593,0.253018,0.198384,0.105969,191.687
-5196.26,0.945117,0.0822956,5,63,0,5202.55,5030.63,0.283815,0.0578085,0.223362,0.239542,0.154446,0.0705159,194.741
-5199.06,0.99847,0.0822956,5,31,0,5200.66,5002.97,0.280682,0.0613525,0.228322,0.242301,0.162566,0.0792126,203.193
-5194.52,0.999786,0.0822956,5,31,0,5199.93,4970.96,0.292798,0.0619429,0.213405,0.250573,0.164944,0.0933828,197.626
-5195.48,0.972646,0.0822956,5,63,0,5199.42,5018.82,0.295122,0.0634999,0.197133,0.243763,0.160245,0.0676408,200.114
-5195.01,0.848808,0.0822956,5,63,0,5199.35,5069.67,0.291682,0.0557608,0.20521,0.219512,0.160863,0.0561107,193.06
-5195.65,0.918766,0.0822956,6,63,0,5198.4,4952,0.293825,0.054116,0.207625,0.281681,0.167167,0.0931744,194.104
-5193.95,0.998553,0.0822956,5,31,0,5195.96,4990.65,0.288259,0.0637621,0.211255,0.253153,0.166985,0.0821518,193.716
