seed,date,seed-date,time,model,N,results_summary,diagnose,fit_time
9381,240223,240223-9381,2402231200,STAN,100,"                     Mean      MCSE      StdDev           5%          50%  \
lp__          -581.311000  0.050569    2.049010  -585.158000  -580.966000   
alpha         4365.460000  4.376370  187.718000  4058.820000  4363.910000   
beta_tv          0.325149  0.000317    0.017348     0.297218     0.324981   
beta_lnl         0.162254  0.000612    0.035115     0.103460     0.162795   
beta_social      0.232208  0.000630    0.034696     0.176117     0.231831   
beta_display     0.380813  0.001199    0.061522     0.280482     0.379571   
beta_email       0.166125  0.000937    0.058467     0.068799     0.165205   
beta_search      0.259833  0.001570    0.086265     0.118706     0.261199   
sigma          195.931000  0.267915   14.559800   173.543000   195.068000   

                      95%    N_Eff  N_Eff/s     R_hat  
lp__          -578.613000  1641.80  407.596  1.000090  
alpha         4673.840000  1839.86  456.767  1.001190  
beta_tv          0.354159  2996.67  743.961  0.999794  
beta_lnl         0.220647  3293.74  817.712  0.999918  
beta_social      0.289441  3031.53  752.614  0.999923  
beta_display     0.483945  2631.27  653.246  0.999842  
beta_email       0.260651  3890.49  965.861  1.000040  
beta_search      0.402683  3017.52  749.136  1.000170  
sigma          220.824000  2953.35  733.204  0.999772  ","Processing csv files: ./stan_outputs/seed-9381-N-100\mmm_model-20240223120030_1.csv, ./stan_outputs/seed-9381-N-100\mmm_model-20240223120030_2.csv, ./stan_outputs/seed-9381-N-100\mmm_model-20240223120030_3.csv, ./stan_outputs/seed-9381-N-100\mmm_model-20240223120030_4.csv

Checking sampler transitions treedepth.
Treedepth satisfactory for all transitions.

Checking sampler transitions for divergences.
No divergent transitions found.

Checking E-BFMI - sampler transitions HMC potential energy.
E-BFMI satisfactory.

Effective sample size satisfactory.

Split R-hat values satisfactory all parameters.

Processing complete, no problems detected.
",4.2151031494140625
9381,240223,240223-9381,2402231200,STAN,200,"                     Mean      MCSE      StdDev           5%          50%  \
lp__         -1172.950000  0.049155    2.042350 -1176.890000 -1172.630000   
alpha         4964.040000  2.251930  115.538000  4771.990000  4963.530000   
beta_tv          0.321379  0.000207    0.013456     0.299359     0.321319   
beta_lnl         0.038104  0.000418    0.024536    -0.003093     0.038159   
beta_social      0.158276  0.000401    0.025346     0.116576     0.158132   
beta_display     0.266710  0.000751    0.043125     0.194110     0.266714   
beta_email       0.167910  0.000759    0.045859     0.092914     0.168144   
beta_search      0.180625  0.001042    0.063967     0.075503     0.180642   
sigma          206.888000  0.169248   10.673300   190.013000   206.770000   

                      95%    N_Eff  N_Eff/s     R_hat  
lp__         -1170.270000  1726.34  314.337  0.999779  
alpha         5152.200000  2632.33  479.302  0.999916  
beta_tv          0.342986  4236.08  771.318  1.000170  
beta_lnl         0.078200  3447.73  627.774  1.000630  
beta_social      0.200037  3996.83  727.754  1.000580  
beta_display     0.337407  3297.91  600.494  0.999566  
beta_email       0.243814  3646.12  663.897  1.000100  
beta_search      0.288089  3765.42  685.618  1.001250  
sigma          224.805000  3976.99  724.142  0.999713  ","Processing csv files: ./stan_outputs/seed-9381-N-200\mmm_model-20240223120035_1.csv, ./stan_outputs/seed-9381-N-200\mmm_model-20240223120035_2.csv, ./stan_outputs/seed-9381-N-200\mmm_model-20240223120035_3.csv, ./stan_outputs/seed-9381-N-200\mmm_model-20240223120035_4.csv

Checking sampler transitions treedepth.
Treedepth satisfactory for all transitions.

Checking sampler transitions for divergences.
No divergent transitions found.

Checking E-BFMI - sampler transitions HMC potential energy.
E-BFMI satisfactory.

Effective sample size satisfactory.

Split R-hat values satisfactory all parameters.

Processing complete, no problems detected.
",4.7747015953063965
9381,240223,240223-9381,2402231200,STAN,300,"                     Mean      MCSE     StdDev           5%          50%  \
lp__         -1762.380000  0.046760   2.008780 -1766.160000 -1762.060000   
alpha         5060.450000  1.827400  94.948700  4901.820000  5059.090000   
beta_tv          0.292025  0.000169   0.010849     0.274180     0.292011   
beta_lnl         0.018176  0.000337   0.021250    -0.015892     0.018010   
beta_social      0.173254  0.000324   0.021029     0.138465     0.173140   
beta_display     0.270865  0.000607   0.036739     0.209517     0.270175   
beta_email       0.208340  0.000569   0.037071     0.148200     0.208342   
beta_search      0.077792  0.000880   0.052742    -0.007088     0.077831   
sigma          211.350000  0.124145   8.380210   197.860000   211.131000   

                      95%    N_Eff  N_Eff/s     R_hat  
lp__         -1759.730000  1845.50  247.552  1.007600  
alpha         5216.380000  2699.67  362.129  1.001230  
beta_tv          0.309481  4107.50  550.973  0.999719  
beta_lnl         0.052909  3981.15  534.024  0.999483  
beta_social      0.208621  4205.39  564.103  1.000970  
beta_display     0.332387  3658.53  490.749  1.000750  
beta_email       0.269611  4240.36  568.794  1.000300  
beta_search      0.163361  3590.63  481.640  1.000070  
sigma          225.654000  4556.71  611.229  0.999691  ","Processing csv files: ./stan_outputs/seed-9381-N-300\mmm_model-20240223120040_1.csv, ./stan_outputs/seed-9381-N-300\mmm_model-20240223120040_2.csv, ./stan_outputs/seed-9381-N-300\mmm_model-20240223120040_3.csv, ./stan_outputs/seed-9381-N-300\mmm_model-20240223120040_4.csv

Checking sampler transitions treedepth.
Treedepth satisfactory for all transitions.

Checking sampler transitions for divergences.
No divergent transitions found.

Checking E-BFMI - sampler transitions HMC potential energy.
E-BFMI satisfactory.

Effective sample size satisfactory.

Split R-hat values satisfactory all parameters.

Processing complete, no problems detected.
",6.2706286907196045
9381,240223,240223-9381,2402231200,STAN,400,"                     Mean      MCSE     StdDev           5%          50%  \
lp__         -2324.900000  0.044174   1.988450 -2328.570000 -2324.560000   
alpha         4932.400000  1.516550  74.718500  4807.510000  4932.740000   
beta_tv          0.307669  0.000144   0.008777     0.293136     0.307672   
beta_lnl         0.057508  0.000281   0.017010     0.029677     0.057493   
beta_social      0.228163  0.000291   0.017307     0.199794     0.228181   
beta_display     0.230034  0.000504   0.028935     0.183054     0.230474   
beta_email       0.124836  0.000527   0.031498     0.074237     0.123998   
beta_search      0.124965  0.000679   0.043313     0.053737     0.124674   
sigma          199.618000  0.123881   7.250220   188.061000   199.414000   

                      95%    N_Eff  N_Eff/s     R_hat  
lp__         -2322.320000  2026.21  246.468  0.999802  
alpha         5053.800000  2427.39  295.267  1.000010  
beta_tv          0.322425  3737.34  454.609  1.000550  
beta_lnl         0.085431  3676.42  447.198  0.999789  
beta_social      0.256707  3528.70  429.230  0.999724  
beta_display     0.277546  3297.87  401.152  1.000520  
beta_email       0.176804  3578.89  435.335  0.999883  
beta_search      0.196132  4074.66  495.640  0.999549  
sigma          211.953000  3425.24  416.645  1.000570  ","Processing csv files: ./stan_outputs/seed-9381-N-400\mmm_model-20240223120047_1.csv, ./stan_outputs/seed-9381-N-400\mmm_model-20240223120047_2.csv, ./stan_outputs/seed-9381-N-400\mmm_model-20240223120047_3.csv, ./stan_outputs/seed-9381-N-400\mmm_model-20240223120047_4.csv

Checking sampler transitions treedepth.
Treedepth satisfactory for all transitions.

Checking sampler transitions for divergences.
No divergent transitions found.

Checking E-BFMI - sampler transitions HMC potential energy.
E-BFMI satisfactory.

Effective sample size satisfactory.

Split R-hat values satisfactory all parameters.

Processing complete, no problems detected.
",7.218552112579346
9381,240223,240223-9381,2402231201,STAN,500,"                     Mean      MCSE     StdDev           5%          50%  \
lp__         -2932.350000  0.049663   2.038670 -2936.200000 -2932.020000   
alpha         4923.550000  1.418580  71.643400  4803.310000  4924.120000   
beta_tv          0.296852  0.000127   0.008534     0.283058     0.296841   
beta_lnl         0.042320  0.000246   0.016364     0.015599     0.042254   
beta_social      0.212389  0.000260   0.016843     0.185434     0.212182   
beta_display     0.261683  0.000471   0.028610     0.214348     0.262091   
beta_email       0.183090  0.000502   0.031147     0.131531     0.182429   
beta_search      0.153518  0.000633   0.041311     0.086469     0.153677   
sigma          211.011000  0.103538   6.880040   199.831000   210.816000   

                      95%    N_Eff  N_Eff/s     R_hat  
lp__         -2929.670000  1685.12  148.247  1.002270  
alpha         5037.520000  2550.61  224.388  1.000130  
beta_tv          0.310717  4492.90  395.258  0.999347  
beta_lnl         0.068798  4425.81  389.356  0.999170  
beta_social      0.240304  4185.26  368.194  0.999973  
beta_display     0.308608  3690.75  324.690  1.001340  
beta_email       0.234966  3846.36  338.379  0.999228  
beta_search      0.220434  4262.40  374.981  1.000110  
sigma          222.579000  4415.52  388.451  0.999846  ","Processing csv files: ./stan_outputs/seed-9381-N-500\mmm_model-20240223120055_1.csv, ./stan_outputs/seed-9381-N-500\mmm_model-20240223120055_2.csv, ./stan_outputs/seed-9381-N-500\mmm_model-20240223120055_3.csv, ./stan_outputs/seed-9381-N-500\mmm_model-20240223120055_4.csv

Checking sampler transitions treedepth.
Treedepth satisfactory for all transitions.

Checking sampler transitions for divergences.
No divergent transitions found.

Checking E-BFMI - sampler transitions HMC potential energy.
E-BFMI satisfactory.

Effective sample size satisfactory.

Split R-hat values satisfactory all parameters.

Processing complete, no problems detected.
",9.208598852157593
9381,240223,240223-9381,2402231201,STAN,600,"                     Mean      MCSE     StdDev           5%          50%  \
lp__         -3509.620000  0.049183   2.033170 -3513.460000 -3509.280000   
alpha         5023.940000  1.273720  62.658400  4921.760000  5023.440000   
beta_tv          0.311717  0.000117   0.007391     0.299639     0.311751   
beta_lnl         0.050828  0.000236   0.014235     0.027567     0.050896   
beta_social      0.187864  0.000257   0.014803     0.163782     0.187770   
beta_display     0.255789  0.000411   0.024193     0.216274     0.255780   
beta_email       0.130800  0.000463   0.026481     0.086919     0.130980   
beta_search      0.049857  0.000615   0.035637    -0.008635     0.050119   
sigma          208.232000  0.100994   6.076510   198.562000   208.156000   

                      95%    N_Eff  N_Eff/s     R_hat  
lp__         -3507.000000  1708.86  144.990  1.002960  
alpha         5129.640000  2419.98  205.326  1.001620  
beta_tv          0.323776  4013.44  340.526  1.000050  
beta_lnl         0.073983  3631.46  308.117  0.999508  
beta_social      0.212475  3327.91  282.361  1.000210  
beta_display     0.295823  3460.99  293.653  0.999697  
beta_email       0.173301  3273.94  277.782  1.001110  
beta_search      0.108230  3356.93  284.823  1.001380  
sigma          218.482000  3620.07  307.150  0.999952  ","Processing csv files: ./stan_outputs/seed-9381-N-600\mmm_model-20240223120105_1.csv, ./stan_outputs/seed-9381-N-600\mmm_model-20240223120105_2.csv, ./stan_outputs/seed-9381-N-600\mmm_model-20240223120105_3.csv, ./stan_outputs/seed-9381-N-600\mmm_model-20240223120105_4.csv

Checking sampler transitions treedepth.
Treedepth satisfactory for all transitions.

Checking sampler transitions for divergences.
No divergent transitions found.

Checking E-BFMI - sampler transitions HMC potential energy.
E-BFMI satisfactory.

Effective sample size satisfactory.

Split R-hat values satisfactory all parameters.

Processing complete, no problems detected.
",9.574732542037964
9381,240223,240223-9381,2402231201,STAN,700,"                     Mean      MCSE     StdDev           5%          50%  \
lp__         -4080.560000  0.047582   2.052390 -4084.430000 -4080.200000   
alpha         4945.700000  1.158460  60.418300  4846.300000  4944.890000   
beta_tv          0.309122  0.000103   0.006865     0.297781     0.309063   
beta_lnl         0.051233  0.000221   0.013608     0.029406     0.050874   
beta_social      0.199641  0.000214   0.013658     0.177193     0.199489   
beta_display     0.234553  0.000379   0.023123     0.196998     0.234178   
beta_email       0.166722  0.000385   0.025092     0.125616     0.166297   
beta_search      0.157724  0.000522   0.032700     0.104390     0.158199   
sigma          204.542000  0.085219   5.575910   195.446000   204.444000   

                      95%    N_Eff  N_Eff/s     R_hat  
lp__         -4077.900000  1860.52  123.311  1.001130  
alpha         5044.320000  2720.02  180.277  0.999654  
beta_tv          0.320778  4469.12  296.204  0.999466  
beta_lnl         0.074061  3804.59  252.160  1.000460  
beta_social      0.222191  4068.13  269.627  0.999893  
beta_display     0.273122  3729.05  247.153  0.999592  
beta_email       0.207512  4246.63  281.457  0.999333  
beta_search      0.211155  3926.82  260.261  1.000140  
sigma          213.897000  4281.13  283.744  1.000570  ","Processing csv files: ./stan_outputs/seed-9381-N-700\mmm_model-20240223120115_1.csv, ./stan_outputs/seed-9381-N-700\mmm_model-20240223120115_2.csv, ./stan_outputs/seed-9381-N-700\mmm_model-20240223120115_3.csv, ./stan_outputs/seed-9381-N-700\mmm_model-20240223120115_4.csv

Checking sampler transitions treedepth.
Treedepth satisfactory for all transitions.

Checking sampler transitions for divergences.
No divergent transitions found.

Checking E-BFMI - sampler transitions HMC potential energy.
E-BFMI satisfactory.

Effective sample size satisfactory.

Split R-hat values satisfactory all parameters.

Processing complete, no problems detected.
",12.980646133422852
9381,240223,240223-9381,2402231201,STAN,800,"                     Mean      MCSE     StdDev           5%          50%  \
lp__         -4668.670000  0.044117   1.935030 -4672.390000 -4668.340000   
alpha         4903.450000  1.177330  56.296900  4810.410000  4903.770000   
beta_tv          0.302303  0.000101   0.006228     0.292011     0.302245   
beta_lnl         0.055545  0.000195   0.012084     0.035837     0.055434   
beta_social      0.214412  0.000208   0.012708     0.193291     0.214381   
beta_display     0.256209  0.000353   0.021033     0.222253     0.255570   
beta_email       0.144574  0.000379   0.022529     0.107918     0.144540   
beta_search      0.163789  0.000516   0.030571     0.114028     0.163503   
sigma          206.215000  0.081903   5.093130   197.903000   206.204000   

                      95%    N_Eff  N_Eff/s     R_hat  
lp__         -4666.130000  1923.85  123.435  1.002180  
alpha         4994.540000  2286.51  146.703  1.000730  
beta_tv          0.312609  3779.57  242.498  1.000030  
beta_lnl         0.075145  3854.32  247.294  1.000580  
beta_social      0.235232  3736.38  239.727  0.999538  
beta_display     0.291710  3555.88  228.146  1.000920  
beta_email       0.181029  3535.86  226.861  0.999614  
beta_search      0.213531  3509.04  225.140  0.999228  
sigma          214.676000  3867.01  248.108  0.999714  ","Processing csv files: ./stan_outputs/seed-9381-N-800\mmm_model-20240223120128_1.csv, ./stan_outputs/seed-9381-N-800\mmm_model-20240223120128_2.csv, ./stan_outputs/seed-9381-N-800\mmm_model-20240223120128_3.csv, ./stan_outputs/seed-9381-N-800\mmm_model-20240223120128_4.csv

Checking sampler transitions treedepth.
Treedepth satisfactory for all transitions.

Checking sampler transitions for divergences.
No divergent transitions found.

Checking E-BFMI - sampler transitions HMC potential energy.
E-BFMI satisfactory.

Effective sample size satisfactory.

Split R-hat values satisfactory all parameters.

Processing complete, no problems detected.
",10.49822735786438
9381,240223,240223-9381,2402231201,STAN,900,"                     Mean      MCSE     StdDev           5%          50%  \
lp__         -5197.360000  0.048941   1.979780 -5201.120000 -5197.070000   
alpha         5007.190000  1.022490  47.909100  4927.390000  5006.920000   
beta_tv          0.291159  0.000084   0.005612     0.281930     0.291095   
beta_lnl         0.058585  0.000186   0.011048     0.040646     0.058532   
beta_social      0.205954  0.000199   0.011610     0.186394     0.206068   
beta_display     0.252014  0.000339   0.019068     0.220654     0.252017   
beta_email       0.165557  0.000337   0.020232     0.131334     0.165742   
beta_search      0.070111  0.000444   0.027649     0.025400     0.070033   
sigma          193.953000  0.070721   4.468580   186.693000   193.927000   

                      95%    N_Eff   N_Eff/s     R_hat  
lp__         -5194.690000  1636.36   91.3557  1.002490  
alpha         5085.630000  2195.44  122.5680  0.999918  
beta_tv          0.300451  4460.35  249.0150  1.000410  
beta_lnl         0.077012  3519.66  196.4970  0.999635  
beta_social      0.225494  3416.56  190.7410  1.000080  
beta_display     0.283225  3156.41  176.2180  0.999902  
beta_email       0.198796  3599.35  200.9460  1.000610  
beta_search      0.117399  3876.85  216.4390  0.999933  
sigma          201.573000  3992.49  222.8950  1.000120  ","Processing csv files: ./stan_outputs/seed-9381-N-900\mmm_model-20240223120139_1.csv, ./stan_outputs/seed-9381-N-900\mmm_model-20240223120139_2.csv, ./stan_outputs/seed-9381-N-900\mmm_model-20240223120139_3.csv, ./stan_outputs/seed-9381-N-900\mmm_model-20240223120139_4.csv

Checking sampler transitions treedepth.
Treedepth satisfactory for all transitions.

Checking sampler transitions for divergences.
No divergent transitions found.

Checking E-BFMI - sampler transitions HMC potential energy.
E-BFMI satisfactory.

Effective sample size satisfactory.

Split R-hat values satisfactory all parameters.

Processing complete, no problems detected.
",14.577001571655273
9381,240223,240223-9381,2402231202,STAN,1000,"                     Mean      MCSE     StdDev           5%          50%  \
lp__         -5821.030000  0.044578   1.989360 -5824.770000 -5820.740000   
alpha         5032.690000  0.916273  46.740800  4956.140000  5033.190000   
beta_tv          0.307311  0.000086   0.005640     0.298159     0.307333   
beta_lnl         0.045424  0.000183   0.010838     0.027515     0.045356   
beta_social      0.184341  0.000174   0.010815     0.166698     0.184151   
beta_display     0.243471  0.000315   0.018713     0.212552     0.243218   
beta_email       0.140556  0.000353   0.019662     0.108410     0.140439   
beta_search      0.111020  0.000448   0.027739     0.065599     0.111004   
sigma          203.093000  0.072466   4.519400   195.811000   202.988000   

                      95%    N_Eff  N_Eff/s     R_hat  
lp__         -5818.430000  1991.54  101.578  1.001080  
alpha         5109.280000  2602.21  132.725  0.999275  
beta_tv          0.316521  4324.83  220.587  0.999995  
beta_lnl         0.063353  3503.64  178.703  1.000590  
beta_social      0.202684  3852.01  196.471  0.999986  
beta_display     0.274703  3520.82  179.579  1.000020  
beta_email       0.172533  3099.39  158.084  1.000710  
beta_search      0.155765  3826.78  195.184  1.000150  
sigma          210.522000  3889.45  198.380  1.000780  ","Processing csv files: ./stan_outputs/seed-9381-N-1000\mmm_model-20240223120154_1.csv, ./stan_outputs/seed-9381-N-1000\mmm_model-20240223120154_2.csv, ./stan_outputs/seed-9381-N-1000\mmm_model-20240223120154_3.csv, ./stan_outputs/seed-9381-N-1000\mmm_model-20240223120154_4.csv

Checking sampler transitions treedepth.
Treedepth satisfactory for all transitions.

Checking sampler transitions for divergences.
No divergent transitions found.

Checking E-BFMI - sampler transitions HMC potential energy.
E-BFMI satisfactory.

Effective sample size satisfactory.

Split R-hat values satisfactory all parameters.

Processing complete, no problems detected.
",14.968281745910645
